Gene	Associated Phenotype(s)	Inheritance	Associated System(s)
MKS1	JOUBERT SYNDROME 28; JBTS28 | BARDET-BIEDL SYNDROME 13; BBS13 | MECKEL SYNDROME, TYPE 1; MKS1	AR	prenatalManifestationsAmnioticFluid, genitourinaryKidneys, headAndNeckEars, skeletalFeet, abdomenBiliaryTract, respiratoryLarynx, headAndNeckFace, skeletalHands, headAndNeckNeck, prenatalManifestationsDelivery, abdomenSpleen, headAndNeckHead, neurologicCentralNervousSystem, cardiovascularVascular, endocrineFeatures, headAndNeckMouth, genitourinaryExternalGenitaliaMale, muscleSoftTissue, genitourinaryExternalGenitaliaFemale, genitourinaryInternalGenitaliaFemale, growthOther, growthWeight, abdomenGastrointestinal, cardiovascularHeart, prenatalManifestationsPlacentaAndUmbilicalCord, headAndNeckEyes, respiratoryLung, skeletalLimbs, genitourinaryInternalGenitaliaMale, genitourinaryBladder, genitourinaryUreters
Caused by mutation in the tyrosine hydroxylase gene (TH	SEGAWA SYNDROME, AUTOSOMAL RECESSIVE	AR	headAndNeckFace, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities
RTN4IP1	OPTIC ATROPHY 10 WITH OR WITHOUT ATAXIA, MENTAL RETARDATION, AND SEIZURES; OPA10	AR	neurologicCentralNervousSystem, headAndNeckEyes
GRIA3	MENTAL RETARDATION, X-LINKED, SYNDROMIC, WU TYPE; MRXSW	XLR	growthOther, neurologicCentralNervousSystem, headAndNeckHead, growthHeight, neurologicPeripheralNervousSystem, headAndNeckFace, headAndNeckEyes, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations
HARS	USHER SYNDROME, TYPE IIIB; USH3B | CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2W; CMT2W	AR, AD	headAndNeckEars, neurologicCentralNervousSystem, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, muscleSoftTissue, skeletalFeet, neurologicPeripheralNervousSystem
B4GALT1	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IId; CDG2D	AR	muscleSoftTissue, neurologicCentralNervousSystem, hematology, laboratoryAbnormalities
TRPM6	HYPOMAGNESEMIA 1, INTESTINAL; HOMG1	AR	muscleSoftTissue, neurologicCentralNervousSystem, laboratoryAbnormalities
TRPM7	AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1	AD	
B4GALT7	EHLERS-DANLOS SYNDROME, SPONDYLODYSPLASTIC TYPE, 1; EDSSPD1	AR	skinNailsHairSkin, growthOther, skeletalPelvis, headAndNeckHead, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, skeletalLimbs, neurologicCentralNervousSystem, skeletal, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, skeletalSpine, skinNailsHairHair
PGK1	PHOSPHOGLYCERATE KINASE 1 DEFICIENCY	XLR	neurologicCentralNervousSystem, genitourinaryKidneys, laboratoryAbnormalities, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, hematology, headAndNeckEyes
FCN3	FICOLIN 3 DEFICIENCY	AR	immunology, laboratoryAbnormalities
P3	IMMUNODYSREGULATION, POLYENDOCRINOPATHY, AND ENTEROPATHY, X-LINKED; IPEX	XLR	skinNailsHairSkin, immunology, hematology, abdomenGastrointestinal, endocrineFeatures
P1	MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND WITH OR WITHOUT AUTISTIC FEATURES	AD	neurologicCentralNervousSystem, headAndNeckHead, headAndNeckMouth, headAndNeckFace, headAndNeckNose, headAndNeckEyes, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, skinNailsHairHair, growthWeight
TUBB8	OOCYTE MATURATION DEFECT 2; OOMD2	AD	genitourinaryInternalGenitaliaFemale
CFAP69	SPERMATOGENIC FAILURE 24; SPGF24	AR	genitourinaryInternalGenitaliaMale
NAXE	ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN EDEMA AND/OR LEUKOENCEPHALOPATHY, 1; PEBEL1	AR	skinNailsHairSkin, respiratory, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, neurologicCentralNervousSystem, metabolicFeatures
GNRH1	HYPOGONADOTROPIC HYPOGONADISM 12 WITH OR WITHOUT ANOSMIA; HH12	AR	genitourinaryExternalGenitaliaMale, genitourinaryInternalGenitaliaFemale, chestBreasts, endocrineFeatures, skinNailsHairHair
SGOL1	CHRONIC ATRIAL AND INTESTINAL DYSRHYTHMIA; CAID	AR	skinNailsHairSkin, growthOther, laboratoryAbnormalities, growthWeight, abdomenGastrointestinal, cardiovascularHeart
TRRAP	DEVELOPMENTAL DELAY WITH OR WITHOUT DYSMORPHIC FACIES AND AUTISM; DEDDFA	AD	chestBreasts, genitourinaryKidneys, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, respiratoryLarynx, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, chestDiaphragm, headAndNeckHead, genitourinaryBladder, neurologicCentralNervousSystem, cardiovascularVascular, headAndNeckMouth, genitourinaryExternalGenitaliaMale, cardiovascularHeart, skeletalSpine, muscleSoftTissue, skinNailsHairNails, genitourinaryInternalGenitaliaFemale
TUBB1	MACROTHROMBOCYTOPENIA, AUTOSOMAL DOMINANT, TUBB1-RELATED	AD	hematology
FAN1	INTERSTITIAL NEPHRITIS, KARYOMEGALIC; KMIN	AR	genitourinaryKidneys, laboratoryAbnormalities
S	THROMBOPHILIA DUE TO PROTEIN S DEFICIENCY, AUTOSOMAL DOMINANT; THPH5 | GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 18; GPIBD18 | HYPERPARATHYROIDISM 1; HRPT1 | THROMBOPHILIA DUE TO PROTEIN S DEFICIENCY, AUTOSOMAL RECESSIVE; THPH6	AR, AD	skinNailsHairSkin, abdomenExternalFeatures, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, headAndNeckFace, headAndNeckNose, prenatalManifestationsMovement, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, respiratoryLung, abdomenLiver, neurologicCentralNervousSystem, cardiovascularVascular, endocrineFeatures, skeletal, chestExternalFeatures, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, muscleSoftTissue
HERC2	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 38; MRT38 | SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 1; SHEP1	AR	neurologicCentralNervousSystem, headAndNeckHead, skeletalFeet, headAndNeckMouth, headAndNeckFace, headAndNeckEyes, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations
DNA-directed)	MANDIBULAR HYPOPLASIA, DEAFNESS, PROGEROID FEATURES, AND LIPODYSTROPHY SYNDROME; MDPL | COLORECTAL CANCER, SUSCEPTIBILITY TO, 10; CRCS10	AD	skinNailsHairSkin, chestBreasts, laboratoryAbnormalities, abdomenGastrointestinal, headAndNeckEars, headAndNeckFace, headAndNeckNose, neoplasia, headAndNeckEyes, abdomenLiver, growthWeight, endocrineFeatures, skeletal, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckTeeth, skeletalSpine, muscleSoftTissue, voice, genitourinaryInternalGenitaliaFemale
PAPA2	POLYDACTYLY, POSTAXIAL, TYPE A2; PAPA2	AD	
MTND1	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKE EPISODES; MELAS | LEBER OPTIC ATROPHY | LEBER OPTIC ATROPHY AND DYSTONIA	Mitochondrial	growthOther, neurologicCentralNervousSystem, cardiovascularVascular, endocrineFeatures, abdomenGastrointestinal, cardiovascularHeart, neurologicPeripheralNervousSystem, headAndNeckEars, headAndNeckEyes, laboratoryAbnormalities, skeletalSpine, muscleSoftTissue, metabolicFeatures
ARV1	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 38; EIEE38	AR	muscleSoftTissue, neurologicCentralNervousSystem, headAndNeckEyes
APTX	ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA; EAOH	AR	neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, skeletalSpine, muscleSoftTissue, skeletalFeet, neurologicPeripheralNervousSystem
MGR1	MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1	AD	neurologicCentralNervousSystem, abdomenGastrointestinal
DCN	CORNEAL DYSTROPHY, CONGENITAL STROMAL; CSCD	AD	headAndNeckEyes
HJCD	HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME	AR	abdomenExternalFeatures, headAndNeckEars, skeletalFeet, growthHeight, hematology, abdomenPancreas, headAndNeckFace, abdomenLiver, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, headAndNeckNeck, skeletalLimbs, abdomenSpleen, immunology, endocrineFeatures, skeletal, headAndNeckMouth, cardiovascularHeart, muscleSoftTissue, headAndNeckNose, metabolicFeatures
CR2	IMMUNODEFICIENCY, COMMON VARIABLE, 7; CVID7	AR	respiratory, immunology, abdomenGastrointestinal, laboratoryAbnormalities
LCT	LACTASE DEFICIENCY, CONGENITAL	AR	metabolicFeatures, abdomenGastrointestinal, laboratoryAbnormalities
IMPG2	RETINITIS PIGMENTOSA 56; RP56 | MACULAR DYSTROPHY, VITELLIFORM, 5; VMD5	AR, AD	headAndNeckEyes
GALK1	GALACTOKINASE DEFICIENCY	AR	neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities
SPRY	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, FADEN-ALKURAYA TYPE; SEMDFA	AR	skeletalSkull, skeletalPelvis, headAndNeckHead, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, headAndNeckNeck, skeletalLimbs, neurologicCentralNervousSystem, skeletal, headAndNeckMouth, skeletalSpine, muscleSoftTissue
IMPG1	MACULAR DYSTROPHY, VITELLIFORM, 4; VMD4	AD	headAndNeckEyes
OTOA	DEAFNESS, AUTOSOMAL RECESSIVE 22; DFNB22	AR	headAndNeckEars
RNA	LEUKOENCEPHALOPATHY, BRAIN CALCIFICATIONS, AND CYSTS; LCC | SPERMATOGENIC FAILURE 13; SPGF13 | LEUKODYSTROPHY, HYPOMYELINATING, 8, WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM; HLD8 | ROIFMAN SYNDROME; RFMN | LEUKODYSTROPHY, HYPOMYELINATING, 11; HLD11 | NEURODEGENERATION, CHILDHOOD-ONSET, WITH BRAIN ATROPHY; CONDBA | PULMONARY FIBROSIS AND/OR BONE MARROW FAILURE, TELOMERE-RELATED, 2; PFBMFT2 | TREACHER COLLINS SYNDROME 3; TCS3 | ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE; AFDCIN | LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 4; CGL4 | CONGENITAL ARTHROGRYPOSIS WITH ANTERIOR HORN CELL DISEASE; CAAHD | LUJAN-FRYNS SYNDROME | CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN | BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 15; BMND15 | MENTAL RETARDATION, AUTOSOMAL RECESSIVE 60; MRT60 | OHDO SYNDROME, X-LINKED; OHDOX | MENTAL RETARDATION, X-LINKED, SYNDROMIC 33; MRXS33 | ALAZAMI-YUAN SYNDROME; ALYUS | LEUKODYSTROPHY, HYPOMYELINATING, 7, WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM; HLD7 | MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE I; MOPD1 | DEAFNESS, AUTOSOMAL DOMINANT 50; DFNA50 | PERIVENTRICULAR NODULAR HETEROTOPIA 6; PVNH6 | CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2B2; CMT2B2 | TREACHER COLLINS SYNDROME 2; TCS2 | DEAFNESS, AUTOSOMAL RECESSIVE 112; DFNB112 | KERATODERMA, PALMOPLANTAR, WITH DEAFNESS | OPITZ-KAVEGGIA SYNDROME; OKS | MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKE EPISODES; MELAS | MITOCHONDRIAL MYOPATHY, INFANTILE, TRANSIENT; MMIT | FEINGOLD SYNDROME 2; FGLDS2 | DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1; DKCA1 | LETHAL CONGENITAL CONTRACTURE SYNDROME 1; LCCS1	AR, Mitochondrial, AD, XLR	skinNailsHairSkin, skeletalSkull, skeletalPelvis, genitourinaryKidneys, prenatalManifestationsAmnioticFluid, headAndNeckEars, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, neoplasia, headAndNeckNeck, prenatalManifestationsDelivery, respiratoryNasopharynx, abdomenSpleen, growthWeight, neurologicCentralNervousSystem, cardiovascularVascular, endocrineFeatures, headAndNeckMouth, genitourinaryExternalGenitaliaMale, muscleSoftTissue, metabolicFeatures, genitourinaryInternalGenitaliaFemale, abdomenExternalFeatures, growthOther, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, growthHeight, hematology, neurologicPeripheralNervousSystem, respiratory, headAndNeckEyes, laboratoryAbnormalities, respiratoryLung, neurologicBehavioralPsychiatricManifestations, skeletalLimbs, skinNailsHairNails, voice, immunology, skeletal, genitourinaryInternalGenitaliaMale, chestRibsSternumClaviclesAndScapulae, abdomenLiver, headAndNeckTeeth, genitourinaryBladder, prenatalManifestationsMovement, skeletalSpine, skinNailsHairHair, chestExternalFeatures
SLURP1	MAL DE MELEDA; MDM	AR	skinNailsHairSkin, skeletalHands, headAndNeckMouth, skinNailsHairNails
OTOF	DEAFNESS, AUTOSOMAL RECESSIVE 9; DFNB9	AR	headAndNeckEars, neurologicCentralNervousSystem
C4ORF26	AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA4; AI2A4	AR	headAndNeckTeeth
Caused by mutation in the membrane-bound transcription factor protease	SPONDYLOEPIPHYSEAL DYSPLASIA, KONDO-FU TYPE; SEDKF	AR	growthOther, growthWeight, headAndNeckEars, skeletal, chestExternalFeatures, growthHeight, skeletalLimbs, headAndNeckFace, skeletalHands, skeletalSpine, genitourinaryExternalGenitaliaFemale
APOPT1	MITOCHONDRIAL COMPLEX IV DEFICIENCY	AR	growthOther, respiratory, genitourinaryKidneys, headAndNeckEars, hematology, cardiovascularHeart, abdomenLiver, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, metabolicFeatures
SKI	SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME; SGS	AD	skinNailsHairSkin, skeletalSkull, headAndNeckHead, abdomenGastrointestinal, abdomenExternalFeatures, headAndNeckEars, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, skeletalLimbs, neurologicCentralNervousSystem, cardiovascularVascular, skeletal, respiratoryAirways, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, cardiovascularHeart, skeletalSpine, muscleSoftTissue, genitourinaryInternalGenitaliaMale, genitourinaryExternalGenitaliaFemale
PCNA	ATAXIA-TELANGIECTASIA-LIKE DISORDER 2; ATLD2	AR	skinNailsHairSkin, neurologicCentralNervousSystem, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletal, growthHeight, neoplasia, skeletalFeet, muscleSoftTissue, headAndNeckEyes
XII	BETHLEM MYOPATHY 2; BTHLM2 | HYPERCHLORHIDROSIS, ISOLATED; HYCHL | ANGIOEDEMA, HEREDITARY, TYPE III; HAE3	AR, AD	skinNailsHairSkin, growthOther, neurologicCentralNervousSystem, skeletalPelvis, growthWeight, abdomenGastrointestinal, skeletalFeet, skeletal, chestRibsSternumClaviclesAndScapulae, respiratoryLarynx, headAndNeckFace, respiratory, skeletalHands, laboratoryAbnormalities, skeletalSpine, muscleSoftTissue, headAndNeckNeck, metabolicFeatures
STRC	DEAFNESS, AUTOSOMAL RECESSIVE 16; DFNB16 | DEAFNESS-INFERTILITY SYNDROME; DIS	AR	headAndNeckEars, genitourinaryInternalGenitaliaMale
AGTR1	RENAL TUBULAR DYSGENESIS; RTD | HYPERTENSION, ESSENTIAL	AR, Multifactorial	headAndNeckFace, prenatalManifestationsAmnioticFluid, cardiovascularVascular, genitourinaryKidneys, skeletalSkull, respiratoryLung, headAndNeckHead
SYN2	SCHIZOPHRENIA; SCZD	AD	neurologicCentralNervousSystem, laboratoryAbnormalities
LCK	IMMUNODEFICIENCY 22; IMD22	AR	skinNailsHairSkin, growthOther, respiratory, immunology, abdomenGastrointestinal, muscleSoftTissue
SYN1	EPILEPSY, X-LINKED, WITH VARIABLE LEARNING DISABILITIES AND BEHAVIOR DISORDERS	XLR	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, headAndNeckHead
ZNF644	MYOPIA 21, AUTOSOMAL DOMINANT; MYP21	AD	headAndNeckEyes
PTH1R	EIKEN SYNDROME | FAILURE OF TOOTH ERUPTION, PRIMARY; PFE | CHONDRODYSPLASIA, BLOMSTRAND TYPE; BOCD | METAPHYSEAL CHONDRODYSPLASIA, JANSEN TYPE; MCDJ	AR, AD	skeletalSkull, skeletalPelvis, genitourinaryKidneys, prenatalManifestationsAmnioticFluid, headAndNeckEars, skeletalFeet, growthHeight, respiratoryLarynx, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, prenatalManifestationsDelivery, skeletalLimbs, headAndNeckHead, neurologicCentralNervousSystem, skeletal, chestRibsSternumClaviclesAndScapulae, headAndNeckTeeth, prenatalManifestations, skeletalSpine
Contiguous gene syndrome caused by deletion (580kb-22.5Mb) of 3q13.31 {UMLS C3809502}	CHROMOSOME 3q13.31 DELETION SYNDROME	AD	genitourinaryExternalGenitaliaMale, neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEars, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckFace, growth, headAndNeckEyes, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations
D10	VERTICAL TALUS, CONGENITAL; CVT	AD	skeletalFeet
D13	VATER/VACTERL ASSOCIATION | SYNPOLYDACTYLY 1; SPD1 | SYNDACTYLY, TYPE V; SDTY5	Isolated cases, AD	growthOther, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, skeletalFeet, respiratoryLarynx, growthWeight, skeletalHands, respiratoryNasopharynx, genitourinaryKidneys, genitourinaryExternalGenitaliaMale, neurologicCentralNervousSystem, cardiovascularVascular, respiratoryAirways, chestRibsSternumClaviclesAndScapulae, skeletalLimbs, genitourinaryBladder, genitourinaryUreters, skeletalSpine, skinNailsHairNails
GATAD1	CARDIOMYOPATHY, DILATED, 2B; CMD2B	AR	cardiovascularHeart
MMVP1	MITRAL VALVE PROLAPSE 1; MVP1	AD	
KCTD1	SCALP-EAR-NIPPLE SYNDROME; SENS	AD	skinNailsHairSkin, skeletalSkull, headAndNeckHead, chestBreasts, genitourinaryKidneys, headAndNeckEars, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, skinNailsHairNails, cardiovascularVascular, headAndNeckTeeth, genitourinaryUreters, skinNailsHairHair
MMVP3	MITRAL VALVE PROLAPSE 3; MVP3	AD	cardiovascularHeart
MEIS1	CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR	AD	neurologicCentralNervousSystem, cardiovascularVascular, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, headAndNeckMouth, headAndNeckFace, cardiovascularHeart, skeletalHands, headAndNeckEyes, respiratoryLung, neurologicBehavioralPsychiatricManifestations
USP18	PSEUDO-TORCH SYNDROME 2; PTORCH2	AR	skinNailsHairSkin, abdomenExternalFeatures, respiratory, immunology, headAndNeckHead, cardiovascularHeart, skeletal, hematology, abdomenLiver, neurologicCentralNervousSystem, laboratoryAbnormalities, muscleSoftTissue
LAMC2	EPIDERMOLYSIS BULLOSA, JUNCTIONAL, NON-HERLITZ TYPE | EPIDERMOLYSIS BULLOSA, JUNCTIONAL, HERLITZ TYPE	AR	skinNailsHairSkinElectronMicroscopy, skinNailsHairSkin, growthOther, skeletalFeet, headAndNeckMouth, headAndNeckTeeth, skinNailsHairSkinHistology, skeletalHands, skinNailsHairNails
TNIK	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 54; MRT54	AR	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem
DARS2	LEUKOENCEPHALOPATHY WITH BRAINSTEM AND SPINAL CORD INVOLVEMENT AND LACTATE ELEVATION; LBSL	AR	muscleSoftTissue, skeletal, neurologicCentralNervousSystem, headAndNeckEyes, neurologicPeripheralNervousSystem
EIF3F	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 67; MRT67	AR	headAndNeckEars, neurologic
CDSN	PEELING SKIN SYNDROME 1; PSS1 | HYPOTRICHOSIS 2; HYPT2	AR, AD	skinNailsHairSkin, immunology, respiratoryAirways, growthHeight, headAndNeckTeeth, skinNailsHairSkinHistology, laboratoryAbnormalities, skinNailsHairHair, skinNailsHairNails
CD3	IMMUNODEFICIENCY 17; IMD17 | IMMUNODEFICIENCY 18; IMD18 | IMMUNODEFICIENCY 19; IMD19 | SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-POSITIVE, NK CELL-POSITIVE	AR	skinNailsHairSkin, growthOther, respiratory, immunology, abdomenGastrointestinal, headAndNeckEars, headAndNeckMouth, hematology, abdomenLiver, respiratoryLung, abdomenSpleen
DNAAF1	CILIARY DYSKINESIA, PRIMARY, 13; CILD13	AR	respiratory, respiratoryLung, cardiovascularHeart, genitourinaryInternalGenitaliaMale, genitourinaryInternalGenitaliaFemale, abdomen, respiratoryNasopharynx
PSTPIP1	PYOGENIC STERILE ARTHRITIS, PYODERMA GANGRENOSUM, AND ACNE	AD	skinNailsHairSkin, skeletal, hematology, abdomenGastrointestinal
DNAAF3	CILIARY DYSKINESIA, PRIMARY, 2; CILD2	AR	respiratory, headAndNeckEars, abdomen, cardiovascularHeart, headAndNeckNose, genitourinary, laboratoryAbnormalities, respiratoryLung
DNAAF4	CILIARY DYSKINESIA, PRIMARY, 25; CILD25 | DYSLEXIA, SUSCEPTIBILITY TO, 1; DYX1	AR, AD	respiratory, headAndNeckHead, headAndNeckEars, abdomen, cardiovascularHeart, genitourinary, laboratoryAbnormalities, respiratoryLung
DNAAF5	CILIARY DYSKINESIA, PRIMARY, 18; CILD18	AR	respiratory, headAndNeckHead, headAndNeckEars, respiratoryAirways, abdomen, headAndNeckNose, laboratoryAbnormalities, genitourinaryInternalGenitaliaMale
SLC17A5	INFANTILE SIALIC ACID STORAGE DISEASE; ISSD | SALLA DISEASE; SD	AR	skinNailsHairSkin, skeletalSkull, growthOther, genitourinaryKidneys, cardiovascularHeart, skeletalFeet, growthHeight, abdomen, headAndNeckFace, headAndNeckNose, headAndNeckEyes, laboratoryAbnormalities, prenatalManifestationsDelivery, skeletalLimbs, abdomenLiver, neurologicCentralNervousSystem, skeletal, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, prenatalManifestations, abdomenSpleen, skinNailsHairHair
POFUT1	DOWLING-DEGOS DISEASE 2; DDD2	AD	skinNailsHairSkin, skinNailsHairSkinHistology, skinNailsHairSkinElectronMicroscopy
IFT27	BARDET-BIEDL SYNDROME 19; BBS19	AR	neurologicCentralNervousSystem, growthWeight, skeletalFeet, genitourinaryExternalGenitaliaMale, headAndNeckNose, skeletalHands, headAndNeckEyes, genitourinaryKidneys
SLC12A5	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 34; EIEE34 | EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 14; EIG14	AR, AD	neurologicCentralNervousSystem, headAndNeckHead
EEC1	ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 1; EEC1	AD	skinNailsHairSkin, chestBreasts, genitourinaryKidneys, headAndNeckEars, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, respiratoryNasopharynx, skinNailsHairNails, genitourinaryExternalGenitaliaMale, neurologicCentralNervousSystem, endocrineFeatures, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckTeeth, genitourinaryBladder, genitourinaryUreters, skinNailsHairHair, genitourinaryInternalGenitaliaFemale
SNX14	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 20; SCAR20	AR	neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEars, skeletalFeet, headAndNeckMouth, headAndNeckTeeth, neurologicPeripheralNervousSystem, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, skeletalSpine, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, skinNailsHairHair
STAT3	AUTOIMMUNE DISEASE, MULTISYSTEM, INFANTILE-ONSET, 1; ADMIO1 | HYPER-IgE RECURRENT INFECTION SYNDROME 1, AUTOSOMAL DOMINANT; HIES1	AD	skinNailsHairSkin, skeletalSkull, abdomenGastrointestinal, growthHeight, hematology, headAndNeckFace, headAndNeckNose, neoplasia, laboratoryAbnormalities, respiratoryLung, respiratory, immunology, endocrineFeatures, skeletal, headAndNeckMouth, headAndNeckTeeth, skeletalSpine, headAndNeckEyes
